STATIONNAME,DISPLAYNAME
Callide Power Station,Callide
Swanbank B Power Station & Swanbank E Gas Turbine,Swanbank
MT PIPER POWER STATION,Mt Piper
MUNMORAH POWER STATION,Munmorah
"Vales Point ""B"" Power Station",Vales Point B
Wallerawang Power Station,Wallerawang
"Jeeralang ""A"" Power Station",Jeeralang A
"Jeeralang ""B"" Power Station",Jeeralang B
NEWPORT POWER STATION,Newport
LOY YANG B POWER STATION,Loy Yang B
Energy Brix Complex Power Station,Energy Brix
SNUGGERY POWER STATION,Snuggery
Hazelwood Power Station,Hazelwood
LOY YANG A POWER STATION,Loy Yang A
Liddell Power Station,Liddell
Bayswater Power Station,Bayswater
Dry Creek Gas Turbine Station,Dry Creek
Mintaro Gas Turbine Station,Mintaro
NORTHERN POWER STATION,Northern
Playford B Power Station,Playford B
TORRENS ISLAND POWER STATION,Torrens Island
ERARING POWER STATION,Eraring
Hume (NSW) Hydro Power Station,Hume (NSW)
Brown Mountain Hydro Power Station,Brown Mountain
Keepit Hydro Power Station,Keepit
Burrinjuck Hydro Power Station,Burrinjuck
WARRAGAMBA POWER STATION,Warragamba
NORTHERN GAS TURBINE,Northern
Hunter Valley Gas Turbine,Hunter Valley
KOOLKHAN GAS TURBINE,Koolkhan
Broken Hill Gas Turbines,Broken Hill
Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),Shoalhaven
GLADSTONE POWER STATION,Gladstone
Collinsville Power Station,Collinsville
ANGELSEA POWER STATION,Angelsea
Hume (Vic) Hydro Power Station,Hume (VIC)
PORTLAND,Portland
POINT HENRY SMELTER,Point Henry Smelter
DARTMOUTH POWER STATION,Dartmouth
EILDON POWER STATION,Eildon
Bogong / Mackay Power Station,Bogong/Mackay
CLOVER POWER STATION,Clover
WEST KIEWA POWER STATION,West Kiewa
Rubicon Mountain Streams Station,Rubicon
Barron Gorge Power Station,Barron Gorge
KAREEYA POWER STATION,Kareeya
MACKAY GAS TURBINE,Mackay
STANWELL POWER STATION,Stanwell
TARONG POWER STATION,Tarong
WIVENHOE POWER STATION,Wivenhoe
YALLOURN 'W' POWER STATION,Yallourn W
Barcaldine Power Station,Barcaldine
Tumut 3 Power Station,Tumut 3
Tumut Power Station,Tumut
Guthega Power Station,Guthega
SNOWY,Snowy
SNOWY,Snowy
Blowering Power Station,Blowering
SNOWY,Snowy
Port Lincoln Gas Turbine,Port Lincoln
TABLELAND MILL,Tableland Mill
OSBORNE POWER STATION,Osborne
Mt Stuart Power Station,Mt Stuart
Townsville Gas Turbine,Townsville
SMITHFIELD ENERGY FACILITY,Smithfield
SOUTH JOHNSTONE,South Johnstone
BLOWERING,Blowering
Guthega Power Station,Guthega
MURRAY1,Murray 1
MURRAY2,Murray 2
Tumut 3 Pumps,Tumut 3
Jindabyne Pump At Guthega,Jindabyne Pump
TUMUT1,Tumut 1
TUMUT2,Tumut 2
TUMUT3,Tumut 3
Roma Gas Turbine Station,Roma
SNOWY,Snowy
TOMAGO SMELTER,Tomago Smelter
FARLEIGH MILL,Farleigh Mill
MACKNADE SUGAR MILL,Macknade Sugar Mill
MARIAN MILL,Marian Mill
PLANE CREEK MILL,Plane Creek Mill
PLEYSTOWE MILL,Pleystowe Mill
RACECOURSE MILL,Racecourse Mill
OAKEY POWER STATION,Oakey
ERGON FREQUENCY CONTROL A.S.,Ergon FCAS
Ladbroke Grove Power Station,Ladbroke Grove
WHYTES GULLY,Whytes Gully
Windy Hill Wind Farm,Windy Hill
UWS CO-GEN UNIT,UWS Co-gen
CALLIDE C NETT OFF,Callide C
MULGRAVE CENTRAL MILL,Mulgrave Central Mill
Pelican Point Power Station,Pelican Point
CALLIDE C NETT OFF,Callide C
Redbank Power Station,Redbank
Bairnsdale Power Station,Bairnsdale
Millmerran Power Plant,Millmerran
Jacks Gully Landfill Gas Power Station,Jacks Gully LFG
Murray Power Station,Murray
Rocky Point Cogeneration Plant,Rocky Point Co-gen
Pindari Hydro Power Station,Pindari
Quarantine Power Station,Quarantine
Lonsdale Power Station,Lonsdale
VALLEY POWER,Valley
Hallett Power Station,Hallett
Somerton Power Station,Somerton
SUNSHINE ENERGY,Sunshine Energy
HRL TRAMWAY ROAD,HRL Tramway Road
West Nowra Landfill Gas Power Generation Facility,West Nowra LFG
TOORA WIND FARM,Toora
Brooklyn LFG U1-3,Brooklyn LFG
Eastern Creek LFG PS Units 1-4,Eastern Creek LFG
LONGFORD PLANT,Longford
STAPYLTON,Stapylton
Tarong North Power Station,Tarong North
WIVENHOE SMALL HYDRO,Wivenhoe (Mini Hydro)
Mornington Waste Disposal Facility,Mornington Waste Disposal
Wyndham Waste Disposal Facility,Wyndham (LFG)
EarthPower Biomass Plant,Earthpower Biomass
Suncoast Gold Macadamias,Suncoast Gold Macadamias
Terminal Storage Mini Hydro Power Station,Terminal Storage (Mini Hydro)
SOMERSET DAM,Somerset Dam
