PARTICIPANT_CODE,FACILITY_CODE,DISPLAY_NAME,FACILITY_TYPE,PRIMARY_FUEL,ALTERNATE_FUEL,GENERATION_TYPE,YEAR_COMMISSIONED,REGISTRATION_DATE,CAPACITY_CREDITS,RAMP_UP,RAMP_DOWN,AS_AT
"ALBGRAS","ALBANY_WF1","Albany Wind Farm","Wind","Wind","","Base",2001,2018-10-12 00:00:00,7.757,,86.4,"2019-06-28 07:30:00"
"ALCOA","ALCOA_WGP","Alcoa Wagerup","Gas","Gas","","Base",1985,2008-11-01 00:00:00,26,3,3,
"ALINTA","ALINTA_PNJ_U1","Pinjarra 1","Gas","Gas","","Base",2005,2003-07-01 00:00:00,135,9.4,9.4,
"ALINTA","ALINTA_PNJ_U2","Pinjarra 2","Gas","Gas","","Base",2006,2003-07-01 00:00:00,135.5,9.4,9.4,
"ALINTA","ALINTA_WGP_GT","Wagerup Gas Turbine 1","Dual (Gas / Distillate)","Gas","Distillate","Peaking",2007,2006-12-02 00:00:00,195.152,8,8,
"ALINTA","ALINTA_WGP_U2","Wagerup Gas Turbine 2","Dual (Gas / Distillate)","Gas","Distillate","Peaking",2007,2006-12-02 00:00:00,196.848,8,8,
"ALINTA","ALINTA_WWF","Walkaway Wind Farm","Wind","Wind","","Base",2005,2003-07-01 00:00:00,26.096,,89.1,
"MPOWER","AMBRISOLAR_PV1","Ambrisolar","Solar","Solar","","Base",2018,2018-09-26 00:00:00,0.431,,0.16,
"PERTHNRGY","ATLAS","Atlas","Landfill Gas","Landfill Gas","","Base",2006,2003-07-01 00:00:00,0,,0.3,
"ALINTA","BADGINGARRA_WF1","Badgingarra Wind Farm","Wind","Wind","","Base",2019,2019-01-11 00:00:00,0,,19.8,
"CTE","BIOGAS01","CleanTech Biogas","Landfill Gas","Landfill Gas","","Base",2015,2015-09-30 00:00:00,1.654,,1,
"BLAIRFOX","BLAIRFOX_KARAKIN_WF1","Karakin Wind Farm","Wind","Wind","","Base",2013,2013-06-01 00:00:00,0.824,,5,
"BLAIRFOX","BLAIRFOX_WESTHILLS_WF3","West Hills Wind Farm","Wind","Wind","","Base",2013,2013-10-10 00:00:00,0,,5,
"WPGENER","BREMER_BAY_WF1","Bremer Bay Wind Farm","Wind","Wind","","Base",2004,2015-11-11 00:00:00,0.151,,2.4,
"WABIOM","BRIDGETOWN_BIOMASS_PLANT","Bridgetown Biomass Plant","Biomass","Biomass","","Base",2011,2009-11-30 00:00:00,0,2,2,
"GRIFFINP","BW1_BLUEWATERS_G2","Bluewaters 1","Coal","Coal","","Base",2008,2007-07-15 00:00:00,217,2,2,
"GRIFFIN2","BW2_BLUEWATERS_G1","Bluewaters 2","Coal","Coal","","Base",2009,2007-08-09 00:00:00,217,2,2,
"WPGENER","COCKBURN_CCG1","Cockburn CCGT","Gas","Gas","","Base",2003,2003-07-01 00:00:00,240,12,12,
"WPGENER","COLLIE_G1","Collie G1","Coal","Coal","","Base",1999,2003-07-01 00:00:00,317.2,4,4,
"DCWL","DCWL_DENMARK_WF1","Denmark Wind Farm","Wind","Wind","","Base",2013,2013-03-02 00:00:00,0.695,,0.24,
"EDWFMAN","EDWFMAN_WF1","Emu Downs Wind Farm","Wind","Wind","","Base",2006,2003-07-01 00:00:00,28.037,,2,
"PERTHNRGY","GOSNELLS","Gosnells Landfill Gas","Landfill Gas","Landfill Gas","","Base",2004,2003-07-01 00:00:00,0,,0,
