STATION_ALIAS,STATIONNAME,STATIONID
AGL SITA Landfill1 Kemps Creek,AGL KEMPS CREEK,AGLSITA
Agl Kemps Creek,AGL KEMPS CREEK,AGLSITA
"Amcor Glass, Gawler Plant","Amcor Glass, Gawler Plant",AMCORGR
Angaston Power Station,ANGASTON POWER STATION,ANGASTON
Anglesea Power Station,ANGELSEA POWER STATION,APS
Appin Power Plant,Appin Power Plant,APPIN
Ararat Wind Farm,Ararat Wind Farm,ARWF
Awaba Power Station,Awaba Power Station,AWABAREF
Bairnsdale Power Station,Bairnsdale Power Station,DEIBDL
Bald Hills Wind Farm,Bald Hills Wind Farm,BHWF
Ballarat Base Hospital Plant,Ballarat Base Hospital Plant,BBASEHOS
Banimboola Power Station,Banimboola Power Station,BAPS
Bankstown Sports Club Plant Units,Bankstown Sports Club Plant Units,BANKSPT
Barcaldine Power Station,Barcaldine Power Station,BARCALDN
Barcaldine Solar Farm,Barcaldine Solar Farm,BARCSF
Barcaldine Solar Farm Units 1-2,Barcaldine Solar Farm,BARCSF
Barron Gorge Power Station,Barron Gorge Power Station,BARRON
Basslink HVDC Link,Basslink HVDC Link,BASSLINK
Bastyan Power Station,Bastyan Power Station,BASTYAN
Bayswater Power Station,Bayswater Power Station,BAYSW
Bell Bay Diesel Generator,Bell Bay Power Station,BBDISEL1
Bell Bay Power Station,BELL BAY,BELLBAY
Bell Bay Three Power Station,Bell Bay Three Power Station,BBP31
Bendeela / Kangaroo Valley Power Station,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),SHOALHAV
Bendeela / Kangaroo Valley Pumps,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),SHOALHAV
Berwick Power Plant,Berwick Power Plant,BERWICK
Blowering Power Station,Blowering Power Station,SNOWY6
Blue Lake Milling Power Plant,Blue Lake Milling Power Plant,BLULAKE
Boco Rock Wind Farm,Boco Rock Wind Farm,BOCOROCK
Bogong / Mackay Power Station,Bogong / Mackay Power Station,MCKAY
Bogong / Mckay Power Station,Bogong / Mackay Power Station,MCKAY
Braemar 2 Power Station,BRAEMAR 2 POWER STATION,B2PS
Braemar Power Station,Braemar Power Station,BRAEMARA
Broadmeadows Landfill Gas Power Station,Broadmeadows Landfill Gas Power Station,BROADMDW
Broadmeadows Power Plant,Broadmeadows Landfill Gas Power Station,BROADMDW
Broadwater Power Station,Broadwater Power Station,BWTR1
Broadwater Power Station Units 1 and 2,Broadwater Power Station,BWTR1
Broken Hill Gas Turbines,Broken Hill Gas Turbines,BHILLGT
Broken Hill Solar Plant,Broken Hill Solar Plant,BROKENH
Brooklyn LFG U1-3,Brooklyn LFG U1-3,BROOKLYN
Brooklyn Landfill Gas Power Station,Brooklyn LFG U1-3,BROOKLYN
Brown Mountain,Brown Mountain Hydro Power Station,BROWNMT
Brown Mountain Hydro Power Station,Brown Mountain Hydro Power Station,BROWNMT
Browns Plains Land Fill Gas Power Station,Browns Plains Landfill Gas PS,BPLANDF
Browns Plains Landfill Gas PS,Browns Plains Landfill Gas PS,BPLANDF
Burrendong Hydro Power Station,Burrendong Hydro Power Station,BDONGHYD
Burrinjuck Hydro Power Station,Burrinjuck Hydro Power Station,BURRIN
Burrinjuck Power Station,Burrinjuck Hydro Power Station,BURRIN
Butlers Gorge Power Station,Butlers Gorge Power Station,BUTLERSG
Callide A Power Station,Callide Power Station,CALLIDE
Callide B Power Station,Callide Power Station,CALLIDE
Callide C Nett Off,CALLIDE C NETT OFF,CALLIDEC1
Callide Power Plant,Callide Power Station,CALLIDE
Callide Power Station,Callide Power Station,CALLIDE
Canunda Wind Farm,CANUNDA WIND FARM,CANUNDA1
Capital East Solar Farm,Capital East Solar Farm,CESF
Capital Wind Farm,Capital Wind Farm,CAPTL_WF
Catagunya / Liapootah / Wayatinah Power Station,Catagunya / Liapootah / Wayatinah Power Station,LI_WY_CA
Catagunya Diesel Generation ,Catagunya / Liapootah / Wayatinah Power Station,LI_WY_CA
Cathedral Rocks,CATHEDRAL ROCKS,CATHROCK
Cathedral Rocks Wind Farm,CATHEDRAL ROCKS,CATHROCK
Cethana Power Station,Cethana Power Station,CETHANA
Challicum Hills Wind Farm,Challicum Hills Wind Farm,CHALLWF
Chepstowe Wind Farm,Chepstowe Wind Farm,CHPSTWF
Clayton Landfill Gas Power Station,Clayton Landfill Gas Power Station,CLAYTON
Claytons Landfill Gas Power Station,Clayton Landfill Gas Power Station,CLAYTON
Clements Gap Wind Farm,Clements Gap Wind Farm,CLEMGPWF
Clover Power Station,CLOVER POWER STATION,CLOVER
Cluny Power Station,Cluny Power Station,CLUNY
Codrington Wind Farm,Codrington Wind Farm,CODRGTON
Collinsville Power Station,Collinsville Power Station,COLNSV
Colongra Power Station,Colongra Power Station,COLONGRA
Condamine Power Station A,Condamine Power Station A,CPSA
Condong Power Station,Condong Power Station,CONDONG1
Condong Power Station Unit 1,Condong Power Station,CONDONG1
Coonoer Bridge Wind Farm,Coonoer Bridge Wind Farm,CBWF
Coonooer Bridge Wind Farm,Coonoer Bridge Wind Farm,CBWF
Copeton Hydro Power Station,Copeton Hydro Power Station,COPTNHYD
Corio Landfill Gas Power Station,Corio Landfill Gas Power Station,CORIO
Cullerin Range Wind Farm,Cullerin Range Wind Farm,CULLERIN
Daandine Power Station,Daandine Power Station,DAANDINE
Darling Downs Power Station,Darling Downs Power Station,DDPS1
"Darling Downs Solar Farm, Units 1-44",Darling Downs Power Station,DDPS1
Dartmouth Power Station,DARTMOUTH POWER STATION,DARTM
Devils Gate Power Station,Devils Gate Power Station,DEVILS_G
Dry Creek Gas Turbine Station,Dry Creek Gas Turbine Station,DRYCGT
Eastern Creek 2 Gas Utilisation Facility,Eastern Creek 2 Gas Utilisation Facility,EASTCRK2
Eastern Creek LFG PS Units 1-4,Eastern Creek LFG PS Units 1-4,EASTCRK
Eastern Creek Power Station,Eastern Creek 2 Gas Utilisation Facility,EASTCRK2
Eildon Pondage Hydro Power Station,EILDON POWER STATION,EILDON
Eildon Power Station,EILDON POWER STATION,EILDON
Energy Brix Complex Power Station,Energy Brix Complex Power Station,ENERGYB
Eraring Power Station,Eraring Power Station,ERGT01
Fisher Power Station,Fisher Power Station,FISHER
George Town Diesel Generation,GEORGE TOWN DIESEL,GEORGTWN
German Creek Power Station,German Creek Power Station,GERMCRK
Gladstone Power Station,GLADSTONE POWER STATION,G/STONE
Glenbawn Hydro Power Station,Glenbawn Hydro Power Station,GLBWNHYD
Glenmaggie Hydro Power Station,Glenmaggie Hydro Power Station,GLENMAGG
Glennies Creek Power Station,Glennies Creek Power Station,GLENNCRK
Gordon Power Station,Gordon Power Station,GORDON
Grange Avenue Landfill Gas Power Station,Grange Avenue Landfill Gas Power Station,GRANGEAV
Grange Avenue Power Station,Grange Avenue Landfill Gas Power Station,GRANGEAV
Griffith Solar Farm,Griffith Solar Farm,GRIFSF
Grosvenor 1 Waste Coal Mine Gas Power Station,Grosvenor 1 Waste Coal Mine Gas Power Station,GROSV1
Grosvenor 2,Grosvenor 2,GROSV2
Grosvenor 2 Waste Coal Mine Gas Power Station,Grosvenor 2,GROSV2
Gullen Range Solar Farm,Gullen Range Wind Farm,GULLRGWF
Gullen Range Wind Farm,Gullen Range Wind Farm,GULLRGWF
Gunning Wind Farm,Gunning Wind Farm,GUNNING
Guthega Power Station,Guthega Power Station,SNOWY3
Hallam Road Renewable Energy Facility,HALLAM ROAD RENEWABLE ENERGY FACILITY,HALAMRD
Hallett 1 Wind Farm,Hallett 1 Wind Farm,HALLWF
Hallett 2 Wind Farm,Hallett 2 Wind Farm,HALLWF2
Hallett Power Station,Hallett Power Station,AGLHAL
Hazelwood Power Station,Hazelwood Power Station,HAZEL
Hepburn Community Wind Farm,Hepburn Community Wind Farm,HEPWIND
Hepburn Wind Farm,Hepburn Community Wind Farm,HEPWIND
Highbury Landfill Gas Power Station Unit 1,Highbury Landfill Gas Power Station,HIGHBRY
Hornsdale Power Reserve,Hornsdale Power Reserve,HORNSDPR
Hornsdale Power Reserve Unit 1,Hornsdale Power Reserve,HORNSDPR
Hornsdale Wind Farm,Hornsdale Wind Farm,HORNSDAL
Hornsdale Wind Farm 2,Hornsdale Wind Farm 2,HORNSDAL2
Hornsdale Wind Farm 3,Hornsdale Wind Farm 3,HORNSDAL3
Hughenden Solar Farm,Hughenden Solar Farm,HUGSF
Hume (NSW) Hydro Power Station,Hume (NSW) Hydro Power Station,HUMENSW
Hume (Vic) Hydro Power Station,Hume (Vic) Hydro Power Station,HUMEV
Hunter Economic Zone,Hunter Economic Zone Power Station,HEZ
Hunter Valley Gas Turbine,Hunter Valley Gas Turbine,HUNTVGT
ISIS Central Sugar Mill Co-generation Plant,ISIS Central Sugar Mill Co-generation Plant,ICSM
Invicta Sugar Mill,Invicta Sugar Mill,INVICTA
Jacks Gully Landfill Gas Power Station,Jacks Gully Landfill Gas Power Station,JACKSGUL
"Jeeralang ""A"" Power Station","Jeeralang ""A"" Power Station",JEERA
"Jeeralang ""B"" Power Station","Jeeralang ""B"" Power Station",JEERB
Jindabyne Pump At Guthega,Jindabyne Pump At Guthega,SNWYGJP2
Jindabyne Small Hydro Power Station,Jindabyne Small Hydro Power Station,JNDSHPS
Jindabyne pump at Guthega,Jindabyne Pump At Guthega,SNWYGJP2
John Butters Power Station,John Butters Power Station,JBUTTERS
Jounama Small Hydro Power Station,Jounama Small Hydro Power Station,JOUNAMA
Kareeya Power Station,KAREEYA POWER STATION,KAREEYA
Keepit Hydro Power Station,Keepit Hydro Power Station,KEEPIT
Keepit Power Station,Keepit Hydro Power Station,KEEPIT
Kiata Wind Farm,Kiata Wind Farm,KIATAWF
Kidston Solar Project,Kidston Solar Project,KSP1
Kincumber Landfill Site,Kincumber Landfill Site,KINCUMB
Kogan Creek Power Station,Kogan Creek Power Station,KOGANCK
Ladbroke Grove Power Station,Ladbroke Grove Power Station,LADBROKE
Lake Bonney Stage 2 Windfarm,Lake Bonney Stage 2 Windfarm,LKBONNY_2
Lake Bonney Stage 3 Wind Farm,Lake Bonney Stage 3 Wind Farm,LKBONNY3
Lake Bonney Wind Farm,Lake Bonney Wind Farm Stage 1,LKBONNY1
Lake Bonney Wind Farm Stage 1,Lake Bonney Wind Farm Stage 1,LKBONNY1
Lake Echo Power Station,Lake Echo Power Station,LK_ECHO
Laverton North Power Station,Laverton North Power Station,LNGS
Lemonthyme / Wilmot  Power Station,Lemonthyme / Wilmot Power Station,LEM_WIL
Lemonthyme / Wilmot Power Station,Lemonthyme / Wilmot Power Station,LEM_WIL
Liddell Power Station,Liddell Power Station,LIDDELL
Longford Plant,LONGFORD PLANT,LONGFORD
Lonsdale Power Station,Lonsdale Power Station,LONSDALE
