Unnamed: 0,STATIONID,STATIONNAME,DISPLAYNAME
0,CALLIDE,Callide Power Station,Callide 
1,SWANBANK,Swanbank B Power Station & Swanbank E Gas Turbine,Swanbank B  & Swanbank E 
2,MP,MT PIPER POWER STATION,MT PIPER 
3,MM,MUNMORAH POWER STATION,MUNMORAH 
4,VP,"Vales Point ""B"" Power Station",Vales Point B 
5,WW,Wallerawang Power Station,Wallerawang 
6,JEERA,"Jeeralang ""A"" Power Station",Jeeralang A 
7,JEERB,"Jeeralang ""B"" Power Station",Jeeralang B 
8,NEWPORT,NEWPORT POWER STATION,NEWPORT 
9,LOYYB,LOY YANG B POWER STATION,LOY YANG B 
10,ENERGYB,Energy Brix Complex Power Station,Energy Brix Complex 
11,SNUG,SNUGGERY POWER STATION,SNUGGERY 
12,HAZEL,Hazelwood Power Station,Hazelwood 
13,LOYYANGA,LOY YANG A POWER STATION,LOY YANG A 
14,LIDDELL,Liddell Power Station,Liddell 
15,BAYSW,Bayswater Power Station,Bayswater 
16,DRYCGT,Dry Creek Gas Turbine Station,Dry Creek 
17,MINTARO,Mintaro Gas Turbine Station,Mintaro 
18,NORTHP,NORTHERN POWER STATION,NORTHERN 
19,PLAYF,Playford B Power Station,Playford B 
20,TORRIS,TORRENS ISLAND POWER STATION,TORRENS ISLAND 
21,ERARING,ERARING POWER STATION,ERARING 
22,HUMENSW,Hume (NSW) Hydro Power Station,Hume (NSW)  
23,BROWNMT,Brown Mountain Hydro Power Station,Brown Mountain  
24,KEEPIT,Keepit Hydro Power Station,Keepit  
25,BURRIN,Burrinjuck Hydro Power Station,Burrinjuck  
26,WG,WARRAGAMBA POWER STATION,WARRAGAMBA 
27,NORTHGT,NORTHERN GAS TURBINE,NORTHERN 
28,HUNTVGT,Hunter Valley Gas Turbine,Hunter Valley 
29,KOOLKHAN,KOOLKHAN GAS TURBINE,KOOLKHAN 
30,BHILLGT,Broken Hill Gas Turbines,Broken Hill s
31,SHOALHAV,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),Shoalhaven  (Bendeela And Kangaroo Valley  And Pumps)
32,G/STONE,GLADSTONE POWER STATION,GLADSTONE 
33,COLNSV,Collinsville Power Station,Collinsville 
34,APS,ANGELSEA POWER STATION,ANGELSEA 
35,HUMEV,Hume (Vic) Hydro Power Station,Hume (Vic)  
36,PORTLAND,PORTLAND,PORTLAND
37,PTH,POINT HENRY SMELTER,POINT HENRY SMELTER
38,DARTM,DARTMOUTH POWER STATION,DARTMOUTH 
39,EILDON,EILDON POWER STATION,EILDON 
40,MCKAY,Bogong / Mackay Power Station,Bogong / Mackay 
41,CLOVER,CLOVER POWER STATION,CLOVER 
42,WKIEWA,WEST KIEWA POWER STATION,WEST KIEWA 
43,RUBICON,Rubicon Mountain Streams Station,Rubicon Mountain Streams Station
44,BARRON,Barron Gorge Power Station,Barron Gorge 
45,KAREEYA,KAREEYA POWER STATION,KAREEYA 
