ID,STATION_NAME,,
272,,,
287,AGL SITA Landfill1 Kemps Creek,AGL KEMPS CREEK,
312,Agl Kemps Creek,AGL KEMPS CREEK,
1,"Amcor Glass, Gawler Plant","Amcor Glass, Gawler Plant",
2,Angaston Power Station,ANGASTON POWER STATION,
3,Anglesea Power Station,ANGELSEA POWER STATION,
4,Appin Power Plant,Appin Power Plant,
279,Ararat Wind Farm,Ararat Wind Farm,
5,Awaba Power Station,Awaba Power Station,
6,Bairnsdale Power Station,Bairnsdale Power Station,
421,Baking Board Solar Farm,,
402,"Baking Board Solar Farm, Units 1-7",,
241,Bald Hills Wind Farm,Bald Hills Wind Farm,
7,Ballarat Base Hospital Plant,Ballarat Base Hospital Plant,
409,Ballarat Battery Energy Storage System,,
8,Banimboola Power Station,Banimboola Power Station,
9,Bankstown Sports Club Plant Units,Bankstown Sports Club Plant Units,
397,Bannerton Solar Park,,
10,Barcaldine Power Station,Barcaldine Power Station,
281,Barcaldine Solar Farm,Barcaldine Solar Farm,
301,Barcaldine Solar Farm Units 1-2,Barcaldine Solar Farm,
11,Barron Gorge Power Station,Barron Gorge Power Station,
12,Basslink HVDC Link,Basslink HVDC Link,
13,Bastyan Power Station,Bastyan Power Station,
14,Bayswater Power Station,Bayswater Power Station,
277,Bell Bay Diesel Generator,Bell Bay Power Station,
255,Bell Bay Power Station,BELL BAY,
15,Bell Bay Three Power Station,Bell Bay Three Power Station,
16,Bendeela / Kangaroo Valley Power Station,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),
17,Bendeela / Kangaroo Valley Pumps,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),
18,Berwick Power Plant,Berwick Power Plant,
19,Blowering Power Station,Blowering Power Station,BLOWERING
20,Blue Lake Milling Power Plant,Blue Lake Milling Power Plant,
242,Boco Rock Wind Farm,Boco Rock Wind Farm,
415,Bodangora Wind Farm,,
317,Bogong / Mackay Power Station,Bogong / Mackay Power Station,MACKAY GAS TURBINE
21,Bogong / Mckay Power Station,Bogong / Mackay Power Station,MACKAY GAS TURBINE
22,Braemar 2 Power Station,Braemar Power Station,
23,Braemar Power Station,BRAEMAR 2 POWER STATION,
285,Broadmeadows Landfill Gas Power Station,Broadmeadows Landfill Gas Power Station,
24,Broadmeadows Power Plant,Broadmeadows Landfill Gas Power Station,
319,Broadwater Power Station,Broadwater Power Station,
25,Broadwater Power Station Units 1 and 2,Broadwater Power Station,
26,Broken Hill Gas Turbines,Broken Hill Gas Turbines,
267,Broken Hill Solar Plant,Broken Hill Solar Plant,
320,Brooklyn LFG U1-3,Brooklyn LFG U1-3,
27,Brooklyn Landfill Gas Power Station,Brooklyn LFG U1-3',
28,Brown Mountain,Brown Mountain Hydro Power Station,
321,Brown Mountain Hydro Power Station,Brown Mountain Hydro Power Station,
29,Browns Plains Land Fill Gas Power Station,Browns Plains Landfill Gas PS,
322,Browns Plains Landfill Gas PS,Browns Plains Landfill Gas PS,
388,Bungala One Solar Farm,,
416,Bungala Two Solar Farm,,
30,Burrendong Hydro Power Station,Burrendong Hydro Power Station,
323,Burrinjuck Hydro Power Station,Burrinjuck Hydro Power Station,
31,Burrinjuck Power Station,Burrinjuck Hydro Power Station,
32,Butlers Gorge Power Station,Butlers Gorge Power Station,
33,Callide A Power Station,Callide Power Station,
34,Callide B Power Station,Callide Power Station,
324,Callide C Nett Off,CALLIDE C NETT OFF,
35,Callide Power Plant,Callide Power Station,
325,Callide Power Station,Callide Power Station,
36,Canunda Wind Farm,CANUNDA WIND FARM,
37,Capital East Solar Farm,Capital East Solar Farm,
38,Capital Wind Farm,Capital Wind Farm,
39,Catagunya / Liapootah / Wayatinah Power Station,Catagunya / Liapootah / Wayatinah Power Station,
270,Catagunya Diesel Generation ,Catagunya / Liapootah / Wayatinah Power Station,
326,Cathedral Rocks,CATHEDRAL ROCKS,
40,Cathedral Rocks Wind Farm,CATHEDRAL ROCKS,
41,Cethana Power Station,Cethana Power Station,
42,Challicum Hills Wind Farm,Challicum Hills Wind Farm,
327,Chepstowe Wind Farm,Chepstowe Wind Farm,
418,Childers Solar Farm,,
328,Clare Solar Farm,,
311,"Clare Solar Farm Stage 1, Units 1-69",,
329,Clayton Landfill Gas Power Station,Clayton Landfill Gas Power Station,
43,Claytons Landfill Gas Power Station,,
44,Clements Gap Wind Farm,Clements Gap Wind Farm,
45,Clover Power Station,CLOVER POWER STATION,
46,Cluny Power Station,Cluny Power Station,
47,Codrington Wind Farm,Codrington Wind Farm,
401,Coleambally Solar Farm,,
245,Collinsville Power Station,Collinsville Power Station,
398,Collinsville Solar PV Power Station,Collinsville Power Station,
48,Colongra Power Station,Colongra Power Station,
49,Condamine Power Station A,Condamine Power Station A,
330,Condong Power Station,Condong Power Station,
50,Condong Power Station Unit 1,Condong Power Station,
331,Coonoer Bridge Wind Farm,Coonoer Bridge Wind Farm,
284,Coonooer Bridge Wind Farm,Coonoer Bridge Wind Farm,
51,Copeton Hydro Power Station,Copeton Hydro Power Station,
52,Corio Landfill Gas Power Station,Corio Landfill Gas Power Station,
417,Crookwell 2 Wind Farm,,
410,Crowlands Wind Farm,,
53,Cullerin Range Wind Farm,Cullerin Range Wind Farm,
256,DG,,
54,Daandine Power Station,Daandine Power Station,
393,Dalrymple North Battery Energy Storage System,,
55,Darling Downs Power Station,Darling Downs Power Station,
394,"Darling Downs Solar Farm, Units 1-44",Darling Downs Power Station,
56,Dartmouth Power Station,DARTMOUTH POWER STATION,
404,Daydream Solar Farm,,
57,Devils Gate Power Station,Devils Gate Power Station,
